sequence	hit	perc_identity	sample
V350096821L1C004R06300734520/1	McrA-NZ_CP009503.1_92 - Methanosarcina sp000969965 (Halobacteriota)	97	ShA
V350096821L2C004R01600959538/1	McrA-NZ_CP009515.1_161 - Methanosarcina lacustris (Halobacteriota)	100	ShA
V350096821L1C001R02400557285/1	McrA-PXAV01000083.1_7 - Methanolobus sp003565715 (Halobacteriota)	87.9	ShB
V350096821L1C001R02900364805/1	McrA-NZ_JAGGKD010000005.1_199 - Methanolobus bombayensis (Halobacteriota)	93.8	ShB
V350096821L1C001R04901229673/1	McrA-NZ_JAGGKD010000005.1_199 - Methanolobus bombayensis (Halobacteriota)	100	ShB
V350096821L1C001R05600093362/1	McrA-NZ_MBKP01000024.1_20 - Methanolobus psychrotolerans (Halobacteriota)	100	ShB
V350096821L1C001R03900785081/1	McrA-DAZF01000056.1_26 - Methanolobus sp002507205 (Halobacteriota)	100	ShB
V350096821L1C001R07100707322/1	McrA-NZ_JAGGKD010000005.1_199 - Methanolobus bombayensis (Halobacteriota)	90.6	ShB
V350096821L1C002R00200179938/1	McrA-PXAV01000083.1_7 - Methanolobus sp003565715 (Halobacteriota)	100	ShB
V350096821L1C003R02701223375/1	McrA-JAIPUR010000015.1_3 - Methanolobus sp020055655 (Halobacteriota)	97	ShB
V350096821L1C003R03900502705/1	McrA-NZ_CP009503.1_92 - Methanosarcina sp000969965 (Halobacteriota)	100	ShB
V350096821L1C003R04100988253/1	McrA-NZ_JAGGKD010000005.1_199 - Methanolobus bombayensis (Halobacteriota)	93.9	ShB
V350096821L1C003R05600254937/1	McrA-NZ_CP058215.1_889 - Methanolobus zinderi (Halobacteriota)	100	ShB
V350096821L1C003R03500388507/1	McrA-NZ_MBKP01000024.1_20 - Methanolobus psychrotolerans (Halobacteriota)	100	ShB
V350096821L1C003R06701160688/1	McrA-NZ_FOUJ01000003.1_168 - Methanolobus profundi (Halobacteriota)	90.6	ShB
V350096821L1C004R01100992516/1	McrA-NZ_JAGGKD010000005.1_199 - Methanolobus bombayensis (Halobacteriota)	100	ShB
V350096821L1C004R01500061388/1	McrA-CP003083.1_780 - Methanolobus psychrophilus (Halobacteriota)	100	ShB
V350096821L1C004R05100426659/1	McrA-NC_014253.1_909 - Methanohalobium evestigatum (Halobacteriota)	90.6	ShB
V350096821L1C005R04401009244/1	McrA-NZ_FOUJ01000003.1_168 - Methanolobus profundi (Halobacteriota)	93.9	ShB
V350096821L1C005R06001394005/1	McrA-PXAV01000083.1_7 - Methanolobus sp003565715 (Halobacteriota)	100	ShB
V350096821L1C006R00101237925/1	McrA-NZ_JAGGKD010000005.1_199 - Methanolobus bombayensis (Halobacteriota)	100	ShB
V350096821L1C006R06500977091/1	McrA-JAIPUR010000015.1_3 - Methanolobus sp020055655 (Halobacteriota)	87.5	ShB
V350096821L2C001R00900100439/1	McrA-NZ_CP009518.1_591 - Methanococcoides methylutens_A (Halobacteriota)	100	ShB
V350096821L2C001R00801358955/1	McrA-JADGNM010000014.1_2 - Methanosarcina sp017883485 (Halobacteriota)	90.9	ShB
V350096821L2C001R01900587929/1	McrA-NZ_MBKP01000024.1_20 - Methanolobus psychrotolerans (Halobacteriota)	100	ShB
V350096821L2C001R02300837759/1	McrA-PXAV01000083.1_7 - Methanolobus sp003565715 (Halobacteriota)	87.9	ShB
V350096821L2C001R04800717626/1	McrA-CP003083.1_780 - Methanolobus psychrophilus (Halobacteriota)	100	ShB
V350096821L2C001R02100976537/1	McrA-NZ_MBKP01000024.1_20 - Methanolobus psychrotolerans (Halobacteriota)	100	ShB
